的	的 的话 的确
充	充 充分 充满 充实 充足 充当
贵	贵 贵族 贵州 贵重
迷	迷 迷信 迷人 迷惑 迷失
混	混 混合 混乱 混和 混淆 混战
纷	纷 纷纷
示	示 示威 示范 示意 示意图
伸	伸 伸出 伸手 伸长 伸展 伸向
助	助 助手 助长
封	封 封建 封建社会 封闭 封建主义 封锁
排	排 排列 排斥 排除 排出 排长
期	期 期间 期望 期限 期待 期货
肉	肉 肉体 肉眼 肉食
船	船 船舶 船长 船头 船只 船舱
座	座 座谈会 座位 座谈 座落
义	义 义务 义和团 义务教育
舰	舰 舰队
闻	闻 闻名 闻到 闻声
升	升 升高 升起 升华 升降 升到
室	室 室内 室温 室外
妈	妈 妈妈 妈的
亡	亡 亡国
付	付 付出 付款
控	控 控制 控告 控诉
警	警 警察 警惕 警告 警长 警报
负	负 负责 负担 负责人 负有 负荷
推	推 推动 推广 推行 推翻 推进
扬	扬 扬起 扬州
模	模 模式 模型 模糊 模仿 模范
凤	凤 凤凰
虚	虚 虚伪 虚构 虚假 虚心 虚实
默	默 默默
土	土 土地 土壤 土匪 土耳其 土地改革
技	技 技术 技巧 技能 技术改造 技术人员
费	费 费用 费尔巴哈 费力
温	温 温度 温暖 温柔 温和 温带
市	市 市场 市长 市委 市民 市区
麻	麻 麻烦 麻醉 麻雀 麻痹 麻木
初	初 初期 初步 初中 初级 初次
考	考 考虑 考察 考试 考虑到 考验
拥	拥 拥有 拥护 拥挤 拥抱
究	究 究竟
握	握 握手 握住
资	资 资本主义 资产阶级 资金 资源 资料
普	普 普遍 普通 普及 普遍性 普通话
翻	翻 翻译 翻身 翻滚 翻开 翻腾
察	察 察觉 察看
独	独 独立 独特 独自 独立性 独占
幸	幸 幸福 幸而 幸运 幸亏 幸好
舞	舞 舞蹈 舞台 舞剧 舞蹈家 舞姿
称	称 称为 称之为 称赞 称呼 称作
母	母 母亲 母体 母子 母鸡 母猪
暴	暴 暴露 暴力 暴动 暴雨 暴风雨
按	按 按照 按劳分配 按时 按钮 按着
孙	孙 孙中山 孙子 孙悟空 孙子兵法
睡	睡 睡觉 睡着 睡眠
改	改 改变 改革 改造 改善 改进
换	换 换上 换句话说 换来 换言之 换取
素	素 素质 素材 素养 素描
较	较 较为 较之 较量
具	具 具有 具体 具备 具体化
箭	箭 箭头
品	品 品种 品质 品德 品格 品尝
忘	忘 忘记 忘掉 忘却
状	状 状态 状况 状元
堂	堂 堂屋 堂堂
副	副 副业 副主席 副热带
承	承 承认 承担 承包 承受
野	野 野兽 野外 野蛮 野生 野心
锋	锋 锋利 锋芒
洞	洞 洞里 洞口 洞穴
遇	遇 遇到 遇见 遇上 遇着
查	查 查明 查出 查看 查处 查阅
洛	洛 洛阳
局	局 局面 局部 局长 局限 局限性
划	划 划分 划时代 划清 划定
权	权 权利 权力 权威 权益 权限
藏	藏 藏族
味	味 味道 味儿
丹	丹 丹麦
故	故 故事 故意 故乡 故障
钟	钟 钟头 钟声
坏	坏 坏人 坏事 坏蛋 坏死
仍	仍 仍然 仍是 仍旧
宗	宗 宗教 宗旨 宗法 宗教信仰 宗教改革
弱	弱 弱点
弄	弄 弄清 弄到
脱	脱 脱离 脱落 脱下 脱节 脱去
菲	菲 菲律宾 菲菲
胸	胸 胸前 胸脯 胸部 胸膛 胸口
药	药 药物 药品 药材 药水 药用
历	历 历史 历史上 历来 历代 历史唯物主义
徐	徐 徐徐 徐州 徐悲鸿
拳	拳 拳头
爆	爆 爆发 爆炸
杰	杰 杰出 杰作
谈	谈 谈话 谈到 谈判 谈起 谈论
坚	坚 坚持 坚决 坚定 坚强 坚硬
奥	奥 奥运会 奥秘 奥地利
仿	仿 仿佛 仿效
据	据 据说 据统计 据点 据此
偷	偷 偷偷
施	施 施工 施行 施肥 施用 施加
产	产 产生 产品 产量 产物 产业
营	营 营养 营业 营长 营造 营业员
骨	骨 骨干 骨头 骨骼 骨髓
晶	晶 晶体 晶莹
透	透 透明 透过 透镜 透露 透视
尊	尊 尊重 尊敬 尊严
短	短 短期 短短 短暂 短缺 短促
抬	抬 抬起 抬头 抬高
政	政 政治 政府 政策 政权 政党
烦	烦 烦恼 烦躁
河	河 河流 河南 河北 河水 河边
牙	牙 牙齿
维	维 维持 维护 维生素 维修 维新
证	证 证明 证实 证据 证书 证券
卷	卷 卷起
幽	幽 幽默 幽静
草	草 草原 草地 草案 草鞋 草木
森	森 森林
吴	吴 吴佩孚 吴刚 吴作人
摆	摆 摆脱 摆动 摆手 摆布 摆出
蒙	蒙 蒙古 蒙古族
危	危 危险 危机 危害 危急 危及
毒	毒 毒性 毒素 毒蛇 毒害 毒气
投	投 投资 投入 投降 投产 投机
熟	熟 熟悉 熟练 熟人 熟知
飘	飘 飘荡 飘来
导	导 导致 导演 导线 导体 导弹
朋	朋 朋友 朋友们
质	质 质量 质子 质变 质地 质朴
释	释 释放
喊	喊 喊道 喊声 喊叫
胡	胡 胡子 胡耀邦 胡适 胡须 胡说
参	参 参加 参与 参观 参考 参谋长
休	休 休息 休眠 休养
劲	劲 劲头
景	景 景象 景色 景物
挡	挡 挡住
印	印 印象 印度 印刷 印度洋 印第安人
幻	幻 幻想 幻觉
欲	欲 欲望
摸	摸 摸索 摸出 摸到
烟	烟 烟囱 烟雾 烟草 烟袋
致	致 致使 致病 致富 致死 致力于
尼	尼 尼龙
抗	抗 抗日 抗战 抗日战争 抗议 抗病
秋	秋 秋天 秋季 秋风 秋收 秋后
凝	凝 凝结 凝固 凝聚 凝视 凝神
寻	寻 寻找 寻求 寻觅 寻常
盘	盘 盘旋 盘子 盘算
永	永 永远 永恒 永久 永不
板	板 板凳 板块 板上
智	智 智力 智慧 智能 智育
责	责 责任 责任感 责任制 责备 责怪
尸	尸 尸体
柳	柳 柳青 柳树 柳条 柳州
临	临 临时 临床 临走 临近 临死
浪	浪 浪费 浪漫主义 浪花 浪漫 浪潮
恨	恨 恨不得
吓	吓 吓人 吓唬
价	价 价值 价格 价值规律 价钱 价值观
硬	硬 硬度 硬是 硬化 硬要
探	探 探索 探讨 探测器 探测 探求
横	横 横向 横行
标	标 标准 标志 标本 标题 标语
纳	纳 纳入 纳税 纳闷
欧	欧 欧洲 欧美 欧姆
宁	宁 宁静 宁可 宁愿 宁夏 宁肯
墙	墙 墙上 墙壁 墙角
田	田 田野 田地 田里 田间 田文中
习	习 习惯 习俗 习性 习惯于
肩	肩 肩膀 肩上 肩头 肩负
戏	戏 戏曲 戏剧 戏剧性 戏台
设	设 设备 设计 设立 设想 设置
效	效 效果 效率 效应 效益 效力
福	福 福建 福利 福州 福音 福气
移	移 移动 移植 移到 移民
型	型 型号
疯	疯 疯狂
毛	毛 毛泽东 毛主席 毛病 毛泽东思想 毛巾
贝	贝 贝多芬 贝壳 贝类
冒	冒 冒险 冒出 冒充
叔	叔 叔叔 叔同
碎	碎 碎片
轰	轰 轰动 轰轰烈烈 轰炸 轰鸣 轰击
扑	扑 扑来
奋	奋 奋斗 奋勇 奋力 奋战 奋起
饭	饭 饭店 饭碗 饭菜 饭馆 饭后
科	科 科学 科学家 科技 科研 科长
咱	咱 咱们 咱俩
治	治 治疗 治病 治理 治安 治好
湖	湖 湖南 湖北 湖泊 湖水 湖边
环	环 环境 环节 环流 环境污染 环绕
尘	尘 尘埃 尘土
略	略 略有 略带
躲	躲 躲避 躲到 躲开
免	免 免疫 免得 免费 免除 免不了
迎	迎 迎接 迎面 迎着 迎风 迎合
凭	凭 凭借 凭着 凭证
规	规 规定 规律 规模 规则 规范
犹	犹 犹如 犹豫 犹太人 犹太
雄	雄 雄伟 雄厚 雄壮 雄蕊 雄性
距	距 距离 距今
伯	伯 伯伯 伯父
借	借 借鉴 借助 借口 借助于 借款
床	床 床上 床前 床边 床头 床铺
骂	骂 骂人 骂道
朱	朱 朱德 朱占标
史	史 史料 史学 史岱年 史诗 史记
避	避 避免 避开
聚	聚 聚集 聚居 聚合 聚精会神
皱	皱 皱纹
秀	秀 秀丽 秀才
挑	挑 挑战 挑选 挑起 挑水 挑剔
降	降 降低 降水 降水量 降落 降到
敬	敬 敬爱 敬意 敬礼
源	源 源泉 源于
徒	徒 徒弟
束	束 束缚
鲜	鲜 鲜明 鲜血 鲜花 鲜艳 鲜红
撞	撞 撞击
岁	岁 岁月 岁时 岁数
架	架 架子
哭	哭 哭声 哭泣
袭	袭 袭击 袭来
罪	罪 罪恶 罪犯 罪行 罪名 罪过
节	节 节奏 节约 节目 节日 节省
罢	罢 罢了 罢工
食	食 食物 食品 食盐 食用 食堂
唯	唯 唯一 唯心主义 唯物主义 唯有 唯物辩证法
买	买 买卖 买来 买办 买到 买主
训	训 训练 训练班
腿	腿 腿上
稍	稍 稍稍 稍微
校	校 校长 校园 校舍
诺	诺 诺贝尔
某	某 某些 某种 某个 某部 某人
鲁	鲁 鲁迅
姑	姑 姑娘 姑姑
阻	阻 阻碍 阻止 阻力 阻挡 阻塞
丁	丁 丁字
闭	闭 闭上 闭合 闭幕
迅	迅 迅速 迅猛
逸	逸 逸出
残	残 残酷 残余 残废 残留 残暴
裂	裂 裂缝
托	托 托尔斯泰 托儿所 托人
良	良 良好 良心 良种 良性
泪	泪 泪水 泪珠 泪花
尖	尖 尖锐 尖端 尖刀 尖子
晓	晓 晓得
伊	伊 伊斯兰教 伊朗 伊拉克 伊犁
洋	洋 洋人 洋溢 洋流 洋铁桶
屋	屋 屋里 屋子 屋顶 屋内 屋外
尚	尚 尚未 尚不 尚书
颗	颗 颗粒
鱼	鱼 鱼类 鱼群 鱼种
炸	炸 炸弹 炸药
仇	仇 仇恨
讲	讲 讲话 讲究 讲到 讲过 讲述
配	配 配合 配套 配置 配备 配制
旧	旧 旧社会 旧式
绿	绿 绿色 绿化 绿叶 绿色植物 绿洲
假	假 假如 假设 假说 假定 假使
圆	圆 圆形 圆心 圆圆 圆圈 圆满
验	验 验证 验收
番	番 番茄
搞	搞 搞好 搞活 搞上去
迹	迹 迹象
荡	荡 荡漾
彩	彩 彩色 彩电
腾	腾 腾出
恢	恢 恢复
腰	腰 腰带 腰间
牛	牛 牛顿 牛奶 牛全德 牛肉 牛皮
吼	吼 吼叫
占	占 占有 占领 占用 占据 占优势
颤	颤 颤抖 颤动
趣	趣 趣味
梅	梅 梅花 梅兰芳
奔	奔 奔跑 奔驰 奔走 奔腾 奔去
愣	愣 愣住
勇	勇 勇敢 勇气 勇于 勇士
剩	剩 剩下 剩余价值 剩余 剩余产品
志	志 志气 志愿 志愿军 志向
舒	舒 舒服 舒适 舒畅 舒展
端	端 端正 端详 端起
医	医 医生 医院 医学 医疗 医药
炮	炮 炮弹 炮火 炮兵
蛋	蛋 蛋白质 蛋白
卖	卖 卖给 卖国
颜	颜 颜色 颜料
归	归 归纳 归结 归来 归根到底 归于
圈	圈 圈子 圈儿
限	限 限制 限度 限于 限期 限定
浮	浮 浮游 浮动 浮现
适	适 适应 适当 适用 适合 适宜
软	软 软弱 软件 软化
抵	抵 抵抗 抵制 抵抗力 抵达 抵押
厚	厚 厚度
尤	尤 尤其 尤为
广	广 广大 广泛 广州 广东 广阔
范	范 范围 范畴
桌	桌 桌上 桌子
欣	欣 欣赏 欣赏者 欣喜 欣慰
病	病 病人 病毒 病情 病理 病变
共	共 共同 共产党 共产主义 共有 共产党员
职	职 职工 职业 职能 职务 职责
诸	诸 诸如 诸葛亮 诸位 诸侯 诸多
镇	镇 镇压 镇上 镇静 镇定
专	专 专门 专业 专家 专政 专制
值	值 值得 值班 值钱
偏	偏 偏偏 偏见 偏离 偏向 偏差
杂	杂 杂志 杂交 杂质 杂草 杂文
增	增 增加 增长 增强 增大 增多
豪	豪 豪华 豪迈
咬	咬 咬住
触	触 触动 触及 触角 触犯 触发
陷	陷 陷入 陷于
挺	挺 挺进 挺拔
炎	炎 炎热 炎症
稳	稳 稳定 稳定性 稳固 稳步 稳重
巧	巧 巧妙
胖	胖 胖子
附	附 附近 附着 附加 附属 附有
盯	盯 盯住
碰	碰 碰到 碰上 碰撞 碰见
纪	纪 纪律 纪念 纪录
阶	阶 阶段 阶级 阶级斗争 阶层 阶级性
谷	谷 谷子 谷物 谷地
岛	岛 岛上 岛屿
夏	夏 夏季 夏天 夏克明
扫	扫 扫荡 扫除 扫描
潜	潜 潜力 潜在 潜伏 潜意识 潜入
毁	毁 毁灭 毁坏
项	项 项目
旋	旋 旋转 旋律 旋风
抢	抢 抢救 抢劫 抢先 抢险
抽	抽 抽象 抽出 抽烟 抽屉 抽象思维
优	优 优秀 优势 优良 优点 优美
涌	涌 涌现 涌起 涌出
网	网 网络 网点 网状
祖	祖 祖国 祖先 祖宗 祖父 祖母
拜	拜 拜访
测	测 测量 测定 测验 测出 测试
伟	伟 伟大
案	案 案件 案子
列	列 列宁 列入 列车 列为 列举
谓	谓 谓语
操	操 操作 操纵 操心 操场
春	春 春天 春秋 春节 春季 春苗
店	店 店里 店铺
瑞	瑞 瑞士 瑞典
善	善 善于 善良 善恶 善意
逼	逼 逼真 逼迫 逼近
浑	浑 浑身 浑浊
输	输 输入 输出 输送
烧	烧 烧毁 烧瓶
瞪	瞪 瞪大
懂	懂 懂得 懂事
富	富 富有 富裕 富于 富强 富农
汗	汗 汗水 汗珠
侧	侧 侧面 侧重
赤	赤 赤道 赤裸裸
率	率 率领 率先
杯	杯 杯子
京	京 京剧 京城 京师 京京
吉	吉 吉林
滚	滚 滚滚 滚动
浩	浩 浩瀚
获	获 获得 获取 获奖 获胜
轮	轮 轮船 轮廓 轮流 轮到 轮子
损	损 损失 损害 损伤 损耗 损坏
抖	抖 抖动
累	累 累计
讨	讨 讨论 讨厌 讨论会 讨好
苍	苍 苍白 苍蝇
悄	悄 悄悄 悄声
养	养 养成 养殖 养料 养分 养鱼
塞	塞 塞进
挂	挂 挂在 挂上 挂钩
胆	胆 胆子 胆怯 胆量
孤	孤 孤立 孤独 孤儿
陪	陪 陪着 陪同
镜	镜 镜头 镜子 镜面
凶	凶 凶手 凶恶 凶猛 凶狠
吐	吐 吐出
杜	杜 杜威 杜鹃 杜甫 杜文杰
猜	猜 猜想 猜测
庞	庞 庞大
拼	拼 拼命 拼音 拼搏
孔	孔 孔子 孔雀
盖	盖 盖上
材	材 材料
扎	扎 扎实 扎扎实实 扎根
爸	爸 爸爸
预	预 预测 预备 预防 预报 预先
晃	晃 晃动
姓	姓 姓名 姓氏
仔	仔 仔细
遍	遍 遍及 遍地 遍布
彻	彻 彻底
纯	纯 纯粹 纯洁 纯净 纯朴 纯收入
伦	伦 伦理 伦敦 伦理学
盗	盗 盗窃
愤	愤 愤怒 愤慨 愤恨
困	困 困难 困境 困苦 困惑
缘	缘 缘故
纵	纵 纵队 纵横 纵向 纵深 纵然
夺	夺 夺取 夺得 夺去 夺回
壁	壁 壁画 壁上
宋	宋 宋代 宋朝
估	估 估计 估算
介	介 介绍 介质 介于 介绍信
画	画 画家 画面 画出 画像 画法
庄	庄 庄稼 庄严 庄重 庄稼人 庄子
沈	沈 沈阳 沈括
补	补 补充 补偿 补贴 补给 补助
摩	摩 摩擦 摩擦力 摩托车 摩尔 摩尔根
脉	脉 脉搏
泰	泰 泰国
痕	痕 痕迹
燕	燕 燕子
折	折 折射 折磨 折腾 折旧 折断
演	演 演员 演出 演奏 演变 演化
灰	灰 灰色 灰尘
伏	伏 伏特
悠	悠 悠久 悠悠 悠闲
婆	婆 婆婆
创	创 创造 创作 创造性 创立 创新
研	研 研究 研制 研究所 研究生 研究者
含	含 含有 含量 含义 含蓄 含糊
写	写 写出 写作 写信 写成 写道
岳	岳 岳飞
午	午 午饭 午后 午夜 午餐
池	池 池塘 池水
睁	睁 睁开 睁大
萨	萨 萨满 萨满教
暂	暂 暂时 暂行
闲	闲 闲话 闲谈
概	概 概念 概括 概率 概括性 概况
逐	逐 逐渐 逐步 逐年
登	登 登记 登上 登陆 登载 登山
误	误 误差 误解 误会
戒	戒 戒指
村	村 村里 村庄 村子 村长 村落
街	街 街道 街上 街头
跃	跃 跃进
牌	牌 牌子
班	班 班长 班级 班主任 班子 班里
陛	陛 陛下
膀	膀 膀胱
迟	迟 迟疑 迟缓 迟到 迟钝 迟迟
替	替 替代 替换
谋	谋 谋生 谋略 谋求
伴	伴 伴随 伴奏 伴有 伴侣
霸	霸 霸占 霸权主义
怜	怜 怜悯
乌	乌 乌云 乌龟 乌黑 乌鸦 乌鲁木齐
曲	曲 曲线 曲折 曲子 曲调
瞧	瞧 瞧见 瞧不起
歌	歌 歌曲 歌声 歌唱 歌颂 歌舞
漂	漂 漂亮 漂移
嘻	嘻 嘻嘻
采	采 采取 采用 采访 采集 采购
昨	昨 昨天 昨晚 昨夜 昨日
互	互 互相 互助 互助组 互补 互为
舍	舍 舍不得 舍得 舍弃
慌	慌 慌忙 慌乱 慌张
糊	糊 糊涂
犯	犯 犯罪 犯错误 犯人 犯法
扭	扭 扭转 扭头 扭曲 扭动
判	判 判断 判决 判处 判定 判别
丢	丢 丢下 丢掉 丢失
羞	羞 羞愧
昏	昏 昏迷 昏暗
竹	竹 竹子 竹竿 竹林
唤	唤 唤起 唤醒
忧	忧 忧郁 忧虑 忧愁
锐	锐 锐利
琴	琴 琴声
宽	宽 宽阔 宽大 宽敞 宽度 宽广
莲	莲 莲子 莲花
躯	躯 躯体 躯干
疼	疼 疼痛 疼爱
剧	剧 剧本 剧烈 剧场 剧种 剧团
碧	碧 碧绿
征	征 征服 征收 征求 征税
鸟	鸟 鸟类
赞	赞 赞成 赞扬 赞美 赞叹 赞同
丈	丈 丈夫
漫	漫 漫长 漫画 漫步 漫不经心
缩	缩 缩小 缩短
帐	帐 帐篷
遭	遭 遭到 遭受 遭遇
坦	坦 坦克 坦白 坦率 坦然
喃	喃 喃喃
壮	壮 壮大 壮丽 壮观 壮族 壮烈
鼻	鼻 鼻子 鼻孔 鼻腔 鼻梁
聊	聊 聊天
怨	怨 怨恨
绕	绕 绕过
私	私 私人 私有制 私有 私营 私有财产
耀	耀 耀眼
财	财 财政 财产 财富 财务 财力
掩	掩 掩盖 掩护 掩饰
吞	吞 吞噬 吞食 吞下
织	织 织布 织云
监	监 监督 监视 监狱
洗	洗 洗澡 洗涤 洗脸 洗净 洗衣机
佩	佩 佩服
融	融 融合 融化 融洽
插	插 插入 插进 插上 插嘴 插图
梁	梁 梁启超
忠	忠 忠实 忠诚 忠于
悲	悲 悲剧 悲哀 悲惨 悲痛 悲伤
笔	笔 笔记 笔者 笔下 笔墨 笔直
迫	迫 迫切 迫使 迫害
凉	凉 凉爽
丫	丫 丫头
鼓	鼓 鼓励 鼓舞 鼓吹 鼓动 鼓起
亦	亦 亦即 亦可
敏	敏 敏感 敏锐 敏捷
狱	狱 狱中
召	召 召开 召集 召唤
博	博 博士 博物馆 博得
狐	狐 狐狸
吹	吹 吹来
拔	拔 拔出
荣	荣 荣誉 荣获
劳	劳 劳动 劳动者 劳动力 劳动人民 劳动生产率
茶	茶 茶叶 茶馆 茶杯 茶几
缠	缠 缠绕
盛	盛 盛行 盛有 盛开 盛大
磨	磨 磨损
浓	浓 浓度 浓厚 浓郁 浓缩 浓密
净	净 净化
仰	仰 仰望 仰起
遥	遥 遥远 遥感
废	废 废除 废物 废气 废墟
菜	菜 菜园
缺	缺 缺乏 缺少 缺点 缺陷 缺口
粗	粗 粗糙 粗暴 粗大 粗壮 粗略
躺	躺 躺下 躺在
宣	宣 宣传 宣布 宣言 宣扬 宣告
桑	桑 桑叶
惯	惯 惯性 惯例
遗	遗 遗传 遗产 遗留 遗憾 遗传学
执	执 执行 执政 执照
喷	喷 喷出 喷射
刹	刹 刹那间
努	努 努力
脆	脆 脆弱
耗	耗 耗费
窗	窗 窗外 窗户 窗口 窗子 窗前
积	积 积极 积累 积极性 积压 积雪
策	策 策略 策划 策动
辉	辉 辉煌
灯	灯 灯光 灯泡 灯火 灯笼 灯丝
辛	辛 辛苦 辛勤 辛亥革命 辛酸
援	援 援助
堆	堆 堆积 堆放
扶	扶 扶持
踏	踏 踏上 踏实 踏进
库	库 库存 库仑
屁	屁 屁股
奴	奴 奴隶 奴隶主 奴隶制 奴隶社会 奴役
熊	熊 熊熊
粉	粉 粉碎 粉末 粉红色
尾	尾 尾巴 尾部
批	批 批评 批判 批准 批发 批量
乖	乖 乖乖
趁	趁 趁着 趁机
爬	爬 爬上 爬到 爬行 爬行动物
隆	隆 隆重 隆起 隆隆
耐	耐 耐心 耐力
拖	拖 拖拉机 拖延
丰	丰 丰富 丰收 丰满 丰富多彩 丰产
码	码 码头
诚	诚 诚恳 诚实 诚然
律	律 律师
乃	乃 乃是 乃至
曹	曹 曹志道 曹操 曹英
岂	岂 岂不 岂不是
固	固 固定 固体 固然 固定资产 固有
洁	洁 洁白 洁净
社	社 社会 社会主义 社员 社会主义建设 社会主义社会
郭	郭 郭亮 郭沫若
骗	骗 骗人 骗子
滑	滑 滑动 滑稽
隔	隔 隔离 隔壁 隔绝 隔开
纸	纸 纸上 纸条 纸币 纸张
戴	戴 戴上
额	额 额头 额上 额定 额外
撤	撤 撤销 撤退
荒	荒 荒凉 荒地 荒唐 荒谬 荒山
季	季 季节 季度 季风 季节性
延	延 延长 延安 延伸 延续 延缓
旗	旗 旗帜 旗袍 旗号
撒	撒 撒谎
典	典 典型 典礼 典范
颇	颇 颇为
园	园 园林 园地
振	振 振动 振荡 振兴 振奋
仪	仪 仪器 仪式 仪表
省	省 省委 省市 省长 省城 省政府
猎	猎 猎人
跪	跪 跪下
抚	抚 抚摸 抚养
油	油 油画 油田 油灯 油脂 油菜
委	委 委员会 委员 委托 委屈 委员长
泉	泉 泉水
滴	滴 滴入
洪	洪 洪水 洪流
启	启 启发 启示 启蒙 启迪 启动
供	供 供应 供给 供求 供不应求 供销
拦	拦 拦住
祭	祭 祭祀
妻	妻 妻子
妇	妇 妇女 妇人
庆	庆 庆祝
婚	婚 婚姻 婚姻法 婚礼 婚后 婚事
牢	牢 牢固 牢牢
甘	甘 甘心 甘肃 甘蔗
奶	奶 奶奶 奶牛
径	径 径流 径直
倾	倾 倾向 倾斜 倾听 倾向性 倾诉
符	符 符合 符号
赌	赌 赌博
钻	钻 钻进 钻研 钻到 钻出
矮	矮 矮小
堡	堡 堡垒
宜	宜 宜昌
姿	姿 姿态 姿势
爽	爽 爽朗 爽快
堪	堪 堪称
焦	焦 焦急 焦点 焦虑 焦距 焦耳
零	零 零售 零件 零星 零下
薄	薄 薄弱 薄膜
扰	扰 扰乱 扰动
耶	耶 耶稣
牧	牧 牧场 牧草 牧师 牧民
朗	朗 朗诵
挣	挣 挣扎 挣脱
递	递 递给 递增
匆	匆 匆匆 匆忙
肖	肖 肖邦 肖武斌 肖像
亏	亏 亏损
燃	燃 燃烧 燃料 燃着
叛	叛 叛徒 叛乱 叛变
拒	拒 拒绝
肚	肚 肚子 肚皮 肚里
皆	皆 皆有
柱	柱 柱子 柱头
墨	墨 墨西哥 墨水
董	董 董事长 董事
莎	莎 莎士比亚
液	液 液体 液态 液化
途	途 途径 途中
岩	岩 岩石 岩层
芳	芳 芳香
慰	慰 慰问
户	户 户口
欺	欺 欺骗 欺负 欺侮
针	针 针对 针灸 针对性
扔	扔 扔下 扔掉
协	协 协调 协作 协议 协助 协会
驾	驾 驾驶 驾驭 驾驶员
享	享 享受 享有 享乐
郑	郑 郑重 郑州
赢	赢 赢得
珍	珍 珍贵 珍珠 珍惜
虫	虫 虫卵 虫子
康	康 康德 康有为 康熙
椅	椅 椅子
旅	旅 旅行 旅游 旅客 旅馆 旅长
货	货 货币 货物 货源 货款
减	减 减少 减轻 减弱 减小 减退
尝	尝 尝试 尝到
盈	盈 盈利 盈亏
餐	餐 餐厅 餐馆
埋	埋 埋怨 埋头 埋藏 埋伏 埋葬
抛	抛 抛弃 抛出
吻	吻 吻合
敲	敲 敲门
猫	猫 猫头鹰
侵	侵 侵略 侵犯 侵入 侵略者 侵蚀
弯	弯 弯曲 弯腰
茫	茫 茫然 茫茫
悔	悔 悔恨
喘	喘 喘息 喘气
勾	勾 勾结
哎	哎 哎呀 哎哟
截	截 截然不同 截至
舌	舌 舌头 舌尖
肃	肃 肃清
牵	牵 牵动 牵连 牵涉
例	例 例如 例子 例外 例证
庭	庭 庭院
彼	彼 彼此
氏	氏 氏族
夹	夹 夹杂 夹角
济	济 济南
吕	吕 吕布
渊	渊 渊源
卓	卓 卓越
甜	甜 甜蜜
笼	笼 笼罩 笼统
脖	脖 脖子 脖颈
爹	爹 爹妈
抹	抹 抹煞
艺	艺 艺术 艺术家 艺术品 艺人 艺术性
昂	昂 昂贵
哀	哀 哀求
末	末 末期 末端 末年 末了
奉	奉 奉献 奉命 奉行
劝	劝 劝说 劝告 劝阻
腹	腹 腹部 腹腔
钢	钢 钢铁 钢琴 钢材 钢笔
宏	宏 宏观 宏伟 宏观经济 宏大
挤	挤 挤出 挤满
鸿	鸿 鸿渐
核	核 核心 核算 核酸 核定 核准
猪	猪 猪肉
疾	疾 疾病
瓶	瓶 瓶子
僵	僵 僵化
乘	乘 乘机 乘客 乘坐
寂	寂 寂寞 寂静
粮	粮 粮食
聪	聪 聪明 聪明才智
诱	诱 诱导 诱发 诱惑 诱人
搭	搭 搭配
潮	潮 潮湿 潮流 潮水 潮汐
魏	魏 魏晋
鸡	鸡 鸡蛋
弥	弥 弥补 弥漫
瓦	瓦 瓦解
勉	勉 勉强
屈	屈 屈服 屈原
耸	耸 耸立
尺	尺 尺度 尺寸
喂	喂 喂养
丧	丧 丧失
悬	悬 悬挂 悬殊 悬浮 悬崖
拾	拾 拾起
晴	晴 晴朗 晴天
亿	亿 亿万
孟	孟 孟子
乔	乔 乔木
搜	搜 搜集 搜索 搜查
诗	诗 诗人 诗歌 诗意 诗句 诗经
偶	偶 偶然 偶尔 偶然性 偶像
均	均 均匀 均可 均衡 均为
童	童 童年 童话
覆	覆 覆盖
厌	厌 厌恶
悦	悦 悦耳
载	载 载体
掠	掠 掠夺 掠过
垂	垂 垂直 垂体 垂下
港	港 港口
袁	袁 袁世凯
衡	衡 衡量
构	构 构成 构造 构思 构图 构件
肌	肌 肌肉
词	词 词汇 词义 词语 词典 词组
纤	纤 纤维
脏	脏 脏腑
袖	袖 袖子
穷	穷 穷人 穷苦 穷尽
泥	泥 泥土 泥沙 泥浆 泥坑
驻	驻 驻地 驻扎 驻军
眸	眸 眸子
航	航 航行 航空 航海 航天 航线
辞	辞 辞职
乡	乡 乡村 乡镇企业 乡下 乡亲们 乡下人
催	催 催化剂 催促 催化
宿	宿 宿舍 宿主
慎	慎 慎重
魅	魅 魅力
凑	凑 凑近 凑巧
缝	缝 缝隙
歉	歉 歉意
授	授 授予 授权
映	映 映出
岸	岸 岸上 岸边
唱	唱 唱歌 唱腔 唱起 唱片 唱戏
崇	崇 崇拜 崇高 崇敬
读	读 读者 读书 读过 读到 读数
暖	暖 暖和 暖流
扩	扩 扩大 扩张 扩展 扩散 扩大再生产
狮	狮 狮子
瑶	瑶 瑶族
沿	沿 沿着 沿海 沿岸 沿途 沿用
渡	渡 渡过
稀	稀 稀少 稀疏 稀薄 稀释 稀有
恋	恋 恋爱
吩	吩 吩咐
笨	笨 笨重
返	返 返回
赖	赖 赖以
询	询 询问
斜	斜 斜面 斜坡
铺	铺 铺子 铺上 铺盖
咳	咳 咳嗽
尴	尴 尴尬
督	督 督促
奖	奖 奖励 奖金 奖章
卑	卑 卑鄙
染	染 染色体 染色 染上 染料
促	促 促进 促使 促成
弗	弗 弗洛伊德
泛	泛 泛滥
契	契 契约
罚	罚 罚款
埃	埃 埃及
课	课 课题 课程 课堂 课本 课文
屠	屠 屠杀
汇	汇 汇报 汇集 汇率
疗	疗 疗效 疗法
刑	刑 刑法 刑事 刑罚 刑事责任 刑事诉讼
夸	夸 夸张 夸大 夸奖
